name,image_url,status,price,liftoff_thrust,payload_to_leo,payload_to_gto,stages,strap-ons,rocket_height,fairing_diameter,fairing_height,rocket_id
Delta N6,https://storage.googleapis.com/nextspaceflight/media/rockets/Delta_N6.webp,Retired,,,"1,600 kg",,2.0,6.0,,,,271
Diamant A,https://storage.googleapis.com/nextspaceflight/media/rockets/Diamant_A.webp,Retired,,274 kN,80 kg,0 kg,3.0,0.0,18.49 m,0.65 m,2.16 m,66
Diamant B,https://storage.googleapis.com/nextspaceflight/media/rockets/Diamant_B.webp,Retired,,348 kN,115 kg,0 kg,3.0,0.0,23.54 m,0.85 m,2.8 m,66
Diamant BP4,https://storage.googleapis.com/nextspaceflight/media/rockets/Diamant_BP4.webp,Retired,,317 kN,150 kg,0 kg,3.0,0.0,21.64 m,1.45 m,4.5 m,66
Dnepr,https://storage.googleapis.com/nextspaceflight/media/rockets/Dnepr.webp,Retired,$29.0 million,"4,166 kN","4,500 kg",500 kg,3.0,0.0,34.3 m,3.0 m,7.45 m,192
Electron,https://storage.googleapis.com/nextspaceflight/media/rockets/Electron-Rocket.webp,Active,$7.5 million,224 kN,320 kg,,2.0,0.0,18.0 m,1.2 m,4.05 m,4
Electron/Curie,https://storage.googleapis.com/nextspaceflight/media/rockets/Electron_Curie.webp,Active,$7.5 million,224 kN,320 kg,,3.0,0.0,18.0 m,1.2 m,4.05 m,4
Electron/Explorer,https://storage.googleapis.com/nextspaceflight/media/rockets/Electron_Explorer.webp,Active,$7.5 million,224 kN,320 kg,,3.0,0.0,18.0 m,1.2 m,4.05 m,4
Electron/Photon,https://storage.googleapis.com/nextspaceflight/media/rockets/Electron_Photon.webp,Active,$7.5 million,224 kN,320 kg,,3.0,0.0,18.0 m,1.2 m,4.05 m,4
Energiya/Buran,https://storage.googleapis.com/nextspaceflight/media/rockets/Energiya_Buran.webp,Retired,"$3,000.0 million","35,832 kN","105,000 kg","40,000 kg",1.0,4.0,59.0 m,5.7 m,41.0 m,59
Energiya/Polyus,https://storage.googleapis.com/nextspaceflight/media/rockets/Energiya_Polyus.webp,Retired,"$3,000.0 million","35,832 kN","105,000 kg","40,000 kg",1.0,4.0,59.0 m,5.7 m,41.0 m,59
Epsilon,https://storage.googleapis.com/nextspaceflight/media/rockets/Epsilon.webp,Active,,"1,612 kN",,,3.0,0.0,26.0 m,2.5 m,9.19 m,41
Epsilon Demo,https://storage.googleapis.com/nextspaceflight/media/rockets/Epsilon_Demo.webp,Retired,,"1,621 kN",490 kg,,4.0,0.0,24.0 m,2.5 m,9.19 m,41
Epsilon PBS,https://storage.googleapis.com/nextspaceflight/media/rockets/Epsilon_PBS.webp,Active,$39.0 million,"1,612 kN",700 kg,,4.0,0.0,26.0 m,2.5 m,9.19 m,41
Epsilon S,https://storage.googleapis.com/nextspaceflight/media/rockets/default.jpg,Planned,,"1,612 kN","1,400 kg",0 kg,4.0,0.0,27.0 m,2.5 m,9.19 m,41
Eris,https://storage.googleapis.com/nextspaceflight/media/rockets/Eris.webp,Planned,,,305 kg,,3.0,,25.0 m,1.5 m,,298
Europa 1,https://storage.googleapis.com/nextspaceflight/media/rockets/Europa_1.webp,Retired,,"3,962 kN","1,440 kg",200 kg,3.0,0.0,31.68 m,2.0 m,,65
Europa 2,https://storage.googleapis.com/nextspaceflight/media/rockets/Europa_2.webp,Retired,,"8,372 kN",,360 kg,4.0,0.0,31.68 m,2.0 m,,65
Falcon 1,https://storage.googleapis.com/nextspaceflight/media/rockets/Falcon_1_rocket.webp,Retired,$7.0 million,343 kN,470 kg,,2.0,0.0,22.25 m,1.5 m,3.5 m,171
Falcon 9 Block 1 (v1.0),https://storage.googleapis.com/nextspaceflight/media/rockets/Falcon_9_Block_1_rocket.webp,Retired,$59.5 million,"4,940 kN","10,450 kg","4,540 kg",2.0,0.0,54.9 m,5.2 m,13.0 m,3
Falcon 9 Block 2 (v1.1),https://storage.googleapis.com/nextspaceflight/media/rockets/Falcon_9_Block_2.webp,Retired,$56.5 million,"5,885 kN","13,150 kg","4,850 kg",2.0,0.0,68.4 m,5.2 m,13.0 m,3
Falcon 9 Block 3 (v1.2/FT),https://storage.googleapis.com/nextspaceflight/media/rockets/Falcon_9_Block_3_rocket.webp,Retired,$62.0 million,"6,804 kN","22,800 kg","8,300 kg",2.0,0.0,70.0 m,5.2 m,13.0 m,3
Falcon 9 Block 4,https://storage.googleapis.com/nextspaceflight/media/rockets/Falcon_9_Block_4_rocket.webp,Retired,$62.0 million,"6,804 kN","22,800 kg","8,300 kg",2.0,0.0,70.0 m,5.2 m,13.0 m,3
Falcon 9 Block 5,https://storage.googleapis.com/nextspaceflight/media/rockets/Falcon_9_Block_5.webp,Active,$69.75 million,"7,607 kN","22,800 kg","8,300 kg",2.0,0.0,70.0 m,5.2 m,13.0 m,3
Falcon Heavy,https://storage.googleapis.com/nextspaceflight/media/rockets/Falcon%20Heavy%20Block%205.webp,Active,$97.0 million,"22,819 kN","63,800 kg","26,700 kg",2.0,2.0,70.0 m,5.2 m,13.0 m,104
Feng Bao 1,https://storage.googleapis.com/nextspaceflight/media/rockets/Feng_Bao_1.webp,Retired,,"2,785 kN","2,500 kg",0 kg,2.0,0.0,33.0 m,3.35 m,5.0 m,190
Gravity 1,https://storage.googleapis.com/nextspaceflight/media/rockets/Gravity-1.webp,Active,$27.22 million,"5,880 kN","6,500 kg",,3.0,4.0,29.4 m,4.2 m,,294
GSLV Mk I,https://storage.googleapis.com/nextspaceflight/media/rockets/GSLV_Mk_I.webp,Retired,$47.0 million,,,"1,500 kg",3.0,4.0,49.13 m,3.4 m,7.8 m,35
GSLV Mk II,https://storage.googleapis.com/nextspaceflight/media/rockets/GSLV_Mk_II.webp,Active,$47.0 million,"7,887 kN","5,000 kg","2,500 kg",3.0,4.0,51.7 m,4.0 m,7.8 m,35
H3-22L,https://storage.googleapis.com/nextspaceflight/media/rockets/default.jpg,Active,$50.0 million,"7,542 kN",,"4,000 kg",2.0,2.0,,5.27 m,,105
H3-22S,https://storage.googleapis.com/nextspaceflight/media/rockets/H3-22.webp,Active,$50.0 million,"7,542 kN",,"4,000 kg",2.0,2.0,63.0 m,5.27 m,10.3 m,105
H3-24L,https://storage.googleapis.com/nextspaceflight/media/rockets/default.jpg,Active,$50.0 million,"12,142 kN",,"6,500 kg",2.0,4.0,,5.27 m,10.4 m,105
H3-30S,https://storage.googleapis.com/nextspaceflight/media/rockets/default.jpg,Active,$50.0 million,"4,413 kN","4,000 kg","2,100 kg",2.0,0.0,63.0 m,5.27 m,10.3 m,105
Hapith V,https://storage.googleapis.com/nextspaceflight/media/rockets/Hapith_V_rocket.webp,Planned,,650 kN,390 kg,0 kg,3.0,0.0,20.0 m,2.2 m,,280
H-I (9 SO),https://storage.googleapis.com/nextspaceflight/media/rockets/H-I.webp,Retired,,,"3,200 kg","1,100 kg",2.0,9.0,42.0 m,2.44 m,,101
H-I UM-129A (6SO),https://storage.googleapis.com/nextspaceflight/media/rockets/H-I_UM-129A_6SO.webp,Retired,,,"3,200 kg","1,100 kg",3.0,6.0,42.0 m,2.44 m,,101
H-I UM-129A (9SO),https://storage.googleapis.com/nextspaceflight/media/rockets/H-I_UM-129A_9SO.webp,Retired,,,"3,200 kg","1,100 kg",3.0,9.0,42.0 m,2.44 m,,101
H-II,https://storage.googleapis.com/nextspaceflight/media/rockets/H-II.webp,Retired,,,"10,060 kg","3,930 kg",2.0,2.0,49.0 m,,,80
H-II (2 SSB),https://storage.googleapis.com/nextspaceflight/media/rockets/H-II_2_SSB.webp,Retired,,,"10,060 kg","3,930 kg",2.0,4.0,49.0 m,,,80
H-IIS,https://storage.googleapis.com/nextspaceflight/media/rockets/H-IIS.webp,Retired,,,"10,060 kg","3,930 kg",2.0,2.0,49.0 m,,,80
H-IIA 202,https://storage.googleapis.com/nextspaceflight/media/rockets/H-IIA_202_rocket.webp,Active,$90.0 million,,"10,000 kg","4,100 kg",2.0,2.0,53.0 m,4.07 m,12.0 m,179
H-IIA 2022,https://storage.googleapis.com/nextspaceflight/media/rockets/H-IIA_2022.webp,Retired,,,,"4,500 kg",2.0,2.0,53.0 m,4.07 m,12.0 m,179
H-IIA 2024,https://storage.googleapis.com/nextspaceflight/media/rockets/H-IIA_2024.webp,Retired,,,,"5,000 kg",2.0,4.0,53.0 m,4.07 m,12.0 m,179
H-IIA 204,https://storage.googleapis.com/nextspaceflight/media/rockets/H-IIA_204_rocket.webp,Retired,,,"15,000 kg","6,000 kg",2.0,4.0,,4.07 m,12.0 m,179
H-IIB,https://storage.googleapis.com/nextspaceflight/media/rockets/H-IIB_rocket.webp,Retired,$112.5 million,,"16,500 kg","8,000 kg",2.0,4.0,56.6 m,5.1 m,15.0 m,180
Hyperbola 1,https://storage.googleapis.com/nextspaceflight/media/rockets/Hyperbola-1.webp,Active,,557 kN,300 kg,0 kg,4.0,0.0,21.0 m,1.2 m,2.2 m,81
Jielong 1,https://storage.googleapis.com/nextspaceflight/media/rockets/Jielong-1.webp,Active,$7.5 million,500 kN,250 kg,0 kg,4.0,0.0,19.5 m,1.2 m,3.0 m,82
Jielong 3,https://storage.googleapis.com/nextspaceflight/media/rockets/Jielong-3.webp,Active,,,"1,500 kg",,4.0,0.0,31.0 m,3.35 m,,285
Juno I,https://storage.googleapis.com/nextspaceflight/media/rockets/Juno_1_rocket.webp,Retired,,416 kN,11 kg,,4.0,0.0,21.2 m,,,51
Juno II,https://storage.googleapis.com/nextspaceflight/media/rockets/Juno_II_rocket.webp,Retired,,667 kN,41 kg,,4.0,0.0,24.0 m,,,150
KAIROS,https://storage.googleapis.com/nextspaceflight/media/rockets/KAIROS.webp,Active,$9.0 million,,250 kg,,4.0,0.0,18.0 m,1.5 m,4.0 m,297
Kaituozhe 1,https://storage.googleapis.com/nextspaceflight/media/rockets/Kaituozhe_1.webp,Retired,,300 kN,100 kg,0 kg,4.0,0.0,13.6 m,1.0 m,3.1 m,189
Kaituozhe 2,https://storage.googleapis.com/nextspaceflight/media/rockets/Kaituozhe_2.webp,Retired,,500 kN,350 kg,0 kg,4.0,0.0,16.8 m,1.4 m,4.5 m,46
Kinetica 1,https://storage.googleapis.com/nextspaceflight/media/rockets/Kinetica-1_Rocket.webp,Active,,,"2,000 kg","1,500 kg",4.0,0.0,31.0 m,3.35 m,,281
Kinetica 2,https://storage.googleapis.com/nextspaceflight/media/rockets/default.jpg,Planned,,"2,000 kN","12,000 kg",,2.0,0.0,52.0 m,4.2 m,,295
Kinetica 2H,https://storage.googleapis.com/nextspaceflight/media/rockets/default.jpg,Planned,,,"22,000 kg",,,,56.0 m,,4.2 m,295
KSLV-1,https://storage.googleapis.com/nextspaceflight/media/rockets/KSLV-1_rocket.webp,Retired,,"1,639 kN",100 kg,0 kg,2.0,0.0,33.52 m,2.0 m,5.38 m,77
KSLV-2,https://storage.googleapis.com/nextspaceflight/media/rockets/KSLV-2.webp,Active,,"2,620 kN","1,500 kg",550 kg,3.0,0.0,47.5 m,3.3 m,,303
Kuaizhou 1,https://storage.googleapis.com/nextspaceflight/media/rockets/Kuaizhou_1.webp,Retired,,500 kN,100 kg,0 kg,4.0,0.0,13.6 m,1.0 m,3.1 m,38
Kuaizhou 1A,https://storage.googleapis.com/nextspaceflight/media/rockets/Kuaizhou_1A.webp,Active,$5.8 million,537 kN,300 kg,0 kg,4.0,0.0,19.8 m,1.4 m,3.4 m,107
Kuaizhou 11,https://storage.googleapis.com/nextspaceflight/media/rockets/Kuaizhou_11.webp,Active,$28.3 million,"1,250 kN","1,500 kg",0 kg,4.0,0.0,25.3 m,2.2 m,8.5 m,106
Lambda-IV S,https://storage.googleapis.com/nextspaceflight/media/rockets/Lambda-IV_S.webp,Retired,,,12 kg,,4.0,2.0,16.5 m,,,78
LauncherOne,https://storage.googleapis.com/nextspaceflight/media/rockets/LauncherOne.webp,Retired,$12.0 million,,500 kg,,2.0,0.0,16.0 m,1.3 m,,45
Long March 1,https://storage.googleapis.com/nextspaceflight/media/rockets/Long_March_1.webp,Retired,,"1,020 kN",300 kg,0 kg,3.0,0.0,30.45 m,1.5 m,4.67 m,10
Long March 2,https://storage.googleapis.com/nextspaceflight/media/rockets/Long_March_2.webp,Retired,,"2,785 kN","1,800 kg",0 kg,2.0,0.0,35.93 m,3.35 m,4.34 m,110
Long March 2C,https://storage.googleapis.com/nextspaceflight/media/rockets/Long_March_2C.webp,Active,$30.8 million,"2,962 kN","2,850 kg","1,000 kg",2.0,0.0,42.0 m,3.35 m,8.37 m,111
Long March 2C/SD,https://storage.googleapis.com/nextspaceflight/media/rockets/Long_March_2C_SD.webp,Retired,,"2,962 kN","2,500 kg",,3.0,0.0,34.65 m,3.35 m,5.84 m,111
Long March 2C/SM,https://storage.googleapis.com/nextspaceflight/media/rockets/Long_March_2C_SM_rocket.webp,Retired,,"2,963 kN","2,500 kg",,3.0,0.0,34.65 m,3.35 m,5.84 m,111
Long March 2C/SMA,https://storage.googleapis.com/nextspaceflight/media/rockets/Long_March_2C_SMA.webp,Retired,$30.8 million,"2,962 kN","2,850 kg","1,000 kg",3.0,0.0,38.83 m,3.35 m,8.37 m,111
Long March 2C/YZ-1S,https://storage.googleapis.com/nextspaceflight/media/rockets/Long_March_2C_YZ-1S.webp,Active,$30.8 million,"2,962 kN","2,850 kg","1,000 kg",3.0,0.0,38.83 m,3.35 m,8.37 m,111
Long March 2D,https://storage.googleapis.com/nextspaceflight/media/rockets/Long_March_2D_1.webp,Active,$29.75 million,"2,962 kN","3,500 kg","1,200 kg",2.0,0.0,40.77 m,3.35 m,7.82 m,112
Long March 2D/YZ-3,https://storage.googleapis.com/nextspaceflight/media/rockets/Long_March_2D_YZ-3_rocket.webp,Active,$30.0 million,"2,962 kN","3,500 kg","1,200 kg",3.0,0.0,40.77 m,3.35 m,7.82 m,112
Long March 2E,https://storage.googleapis.com/nextspaceflight/media/rockets/Long_March_2E_rocket.webp,Retired,,"5,923 kN","9,500 kg","3,500 kg",2.0,4.0,49.73 m,4.2 m,12.0 m,113
Long March 2E EPKM,https://storage.googleapis.com/nextspaceflight/media/rockets/default.jpg,Retired,,"5,923 kN",,,2.0,4.0,49.73 m,4.2 m,12.0 m,113
Long March 2F,https://storage.googleapis.com/nextspaceflight/media/rockets/Long_March_2F.webp,Retired,,"5,985 kN","8,400 kg",0 kg,2.0,4.0,58.34 m,3.6 m,19.11 m,114
Long March 2F/G,https://storage.googleapis.com/nextspaceflight/media/rockets/Long_March_2FG_rocket.webp,Active,,"5,985 kN","8,600 kg",0 kg,2.0,4.0,58.34 m,3.6 m,19.11 m,114
Long March 2F/T,https://storage.googleapis.com/nextspaceflight/media/rockets/Long_March_2FT_rocket.webp,Active,,"5,985 kN","8,600 kg",0 kg,2.0,4.0,52.03 m,3.8 m,12.78 m,114
Long March 3,https://storage.googleapis.com/nextspaceflight/media/rockets/Long_March_3.webp,Retired,,"2,804 kN","5,000 kg","1,500 kg",3.0,0.0,46.6 m,3.0 m,7.27 m,115
Long March 3A,https://storage.googleapis.com/nextspaceflight/media/rockets/Long_March_3A_rocket.webp,Retired,$69.7 million,"2,962 kN","8,500 kg","2,600 kg",3.0,0.0,52.52 m,3.35 m,8.89 m,115
Long March 3B,https://storage.googleapis.com/nextspaceflight/media/rockets/Long_March_3B.webp,Retired,,"5,924 kN","11,500 kg","5,100 kg",3.0,4.0,54.84 m,4.0 m,9.56 m,115
Long March 3B/E,https://storage.googleapis.com/nextspaceflight/media/rockets/Long_March_3BE.webp,Active,$29.15 million,"5,986 kN","11,500 kg","5,550 kg",3.0,4.0,56.3 m,4.2 m,9.56 m,115
Long March 3B/YZ-1,https://storage.googleapis.com/nextspaceflight/media/rockets/Long_March_3B_YZ-1_rocket.webp,Active,,"5,986 kN","12,000 kg","5,550 kg",4.0,4.0,54.84 m,4.0 m,10.8 m,115
Long March 3C,https://storage.googleapis.com/nextspaceflight/media/rockets/Long_March_3C_rocket.webp,Retired,$20.14 million,"5,923 kN","8,000 kg","3,800 kg",3.0,2.0,54.84 m,4.2 m,9.78 m,115
Long March 3C/E,https://storage.googleapis.com/nextspaceflight/media/rockets/Long_March_3CE_rocket.webp,Active,$20.0 million,"5,923 kN","8,000 kg","3,900 kg",3.0,4.0,55.64 m,4.2 m,9.78 m,115
Long March 3C/YZ-1,https://storage.googleapis.com/nextspaceflight/media/rockets/Long_March_3C_YZ-1.webp,Active,$20.0 million,"5,923 kN","7,500 kg","3,500 kg",4.0,2.0,55.64 m,4.2 m,9.78 m,115
Long March 4A,https://storage.googleapis.com/nextspaceflight/media/rockets/Long_March_4A.webp,Retired,,"2,962 kN","4,000 kg",0 kg,3.0,0.0,41.9 m,2.9 m,4.91 m,119
Long March 4B,https://storage.googleapis.com/nextspaceflight/media/rockets/Long_March_4B_rocket.webp,Active,$64.68 million,"2,993 kN","4,200 kg","1,500 kg",3.0,0.0,46.97 m,3.8 m,11.74 m,120
Long March 4C,https://storage.googleapis.com/nextspaceflight/media/rockets/Long_March4C.webp,Active,$64.68 million,"2,993 kN","4,200 kg","1,500 kg",3.0,0.0,46.97 m,3.8 m,11.74 m,121
Long March 5,https://storage.googleapis.com/nextspaceflight/media/rockets/Long_March_5.webp,Active,,"10,565 kN","32,000 kg","14,000 kg",3.0,4.0,57.0 m,5.2 m,20.0 m,122
Long March 5/YZ-2,https://storage.googleapis.com/nextspaceflight/media/rockets/Long_March_5_YZ-2.webp,Active,,"10,565 kN","32,000 kg","13,500 kg",3.0,4.0,57.0 m,5.2 m,20.0 m,122
Long March 5B,https://storage.googleapis.com/nextspaceflight/media/rockets/Long_March_5B_rocket.webp,Active,,"10,565 kN","23,000 kg",0 kg,2.0,4.0,53.66 m,5.2 m,20.5 m,123
Long March 5B/YZ-2,https://storage.googleapis.com/nextspaceflight/media/rockets/default.jpg,Active,,"10,565 kN","15,000 kg",,3.0,4.0,53.66 m,5.2 m,20.5 m,123
Long March 6,https://storage.googleapis.com/nextspaceflight/media/rockets/Long_March_6_rocket.webp,Active,$19.0 million,"1,188 kN","1,080 kg",0 kg,3.0,0.0,29.24 m,2.6 m,6.145 m,124
Long March 6A,https://storage.googleapis.com/nextspaceflight/media/rockets/Long_March_6A.webp,Active,,"7,230 kN","5,000 kg",,2.0,4.0,50.0 m,4.2 m,5.7 m,124
Long March 6C,https://storage.googleapis.com/nextspaceflight/media/rockets/Long_March_6C.webp,Active,,"2,376 kN","2,400 kg",,2.0,0.0,43.0 m,,,124
Long March 7,https://storage.googleapis.com/nextspaceflight/media/rockets/Long_March_7_rocket.webp,Active,,"7,128 kN","13,500 kg","5,500 kg",2.0,4.0,53.1 m,4.2 m,12.4 m,125
Long March 7A,https://storage.googleapis.com/nextspaceflight/media/rockets/Long_March_7A_rocket.webp,Active,,"7,128 kN","12,000 kg","7,000 kg",3.0,4.0,58.0 m,4.2 m,12.4 m,125
Long March 7/YZ-1A,https://storage.googleapis.com/nextspaceflight/media/rockets/Long_March_7_YZ-1A_rocket.webp,Active,,"7,128 kN","13,200 kg","5,200 kg",3.0,4.0,53.1 m,4.2 m,10.0 m,125
Long March 8,https://storage.googleapis.com/nextspaceflight/media/rockets/Long_March_8_rocket.webp,Active,$27.0 million,"4,752 kN","7,600 kg","2,500 kg",3.0,2.0,50.0 m,4.0 m,12.1 m,126
Long March 8A,https://storage.googleapis.com/nextspaceflight/media/rockets/default.jpg,Planned,,"4,894 kN","8,400 kg",,2.0,2.0,50.54 m,5.2 m,,126
Long March 8 (Core Only),https://storage.googleapis.com/nextspaceflight/media/rockets/Long_March_8_Core_Only_rocket.webp,Active,$27.0 million,"2,452 kN","3,000 kg","1,400 kg",2.0,0.0,50.0 m,4.0 m,12.1 m,126
Long March 10,https://storage.googleapis.com/nextspaceflight/media/rockets/default.jpg,Planned,,"26,250 kN","70,000 kg",,3.0,2.0,93.2 m,,,302
Long March 10A,https://storage.googleapis.com/nextspaceflight/media/rockets/default.jpg,Planned,,"8,750 kN",,,2.0,0.0,,,,302
Long March 11,https://storage.googleapis.com/nextspaceflight/media/rockets/Long_March_11_rocket.webp,Active,$5.3 million,"1,176 kN",530 kg,2 kg,4.0,0.0,20.8 m,2.0 m,5.0 m,108
Long March 11H,https://storage.googleapis.com/nextspaceflight/media/rockets/Long_March_11H_rocket.webp,Active,$5.3 million,"1,176 kN",700 kg,0 kg,4.0,0.0,20.8 m,2.0 m,5.0 m,108
Long March 12,https://storage.googleapis.com/nextspaceflight/media/rockets/default.jpg,Planned,,"5,000 kN","10,000 kg",,2.0,0.0,59.0 m,3.8 m,5.2 m,301
LVM-3,https://storage.googleapis.com/nextspaceflight/media/rockets/LVM-3.webp,Active,$62.0 million,"11,898 kN","10,000 kg","4,000 kg",3.0,2.0,43.4 m,5.0 m,,178
Minotaur C (Taurus),https://storage.googleapis.com/nextspaceflight/media/rockets/Minotaur_C.webp,Active,$45.0 million,"1,607 kN","1,458 kg",,4.0,0.0,27.9 m,2.34 m,,28
Minotaur I,https://storage.googleapis.com/nextspaceflight/media/rockets/Minotaur_I.webp,Active,$40.0 million,935 kN,580 kg,,4.0,0.0,19.21 m,1.27 m,3.79 m,127
Minotaur IV,https://storage.googleapis.com/nextspaceflight/media/rockets/Minotaur_IV.webp,Active,$46.0 million,"2,200 kN","1,735 kg",,4.0,0.0,23.88 m,2.34 m,6.4 m,128
Minotaur V,https://storage.googleapis.com/nextspaceflight/media/rockets/Minotaur_V.webp,Active,$55.0 million,"2,224 kN",,532 kg,5.0,0.0,24.56 m,2.34 m,6.4 m,129
Miura 5,https://storage.googleapis.com/nextspaceflight/media/rockets/Miura%205.webp,Planned,,950 kN,540 kg,,3.0,0.0,35.81 m,,4.5 m,176
MLV,https://storage.googleapis.com/nextspaceflight/media/rockets/MLV.webp,Planned,,"7,161 kN","16,000 kg",,2.0,0.0,58.0 m,5.2 m,15.0 m,172
Molniya,https://storage.googleapis.com/nextspaceflight/media/rockets/Molniya.webp,Retired,,"4,378 kN","6,000 kg","2,200 kg",4.0,4.0,44.23 m,2.58 m,6.74 m,197
Molniya-M/Block 2BL,https://storage.googleapis.com/nextspaceflight/media/rockets/Molniya-M_Block_2BL.webp,Retired,,"4,391 kN","6,200 kg","2,400 kg",4.0,4.0,44.23 m,2.58 m,7.81 m,140
Molniya-M/Block L,https://storage.googleapis.com/nextspaceflight/media/rockets/Molniya-M_Block_L.webp,Retired,,"4,391 kN","6,200 kg","2,400 kg",4.0,4.0,44.23 m,2.58 m,6.74 m,140
Molniya-M/Block ML,https://storage.googleapis.com/nextspaceflight/media/rockets/Molniya-M_Block_ML.webp,Retired,,"4,391 kN","6,200 kg","2,400 kg",4.0,4.0,42.8 m,2.58 m,8.28 m,140
Molniya-M/Block NVL,https://storage.googleapis.com/nextspaceflight/media/rockets/Molniya-M_Block-NVL.webp,Retired,,"4,391 kN","6,200 kg","2,400 kg",4.0,4.0,44.63 m,2.58 m,7.14 m,140
Molniya-M/Block SO-L,https://storage.googleapis.com/nextspaceflight/media/rockets/Molniya-M_Block_SO-L.webp,Retired,,"4,391 kN","6,200 kg","2,400 kg",4.0,4.0,41.26 m,2.58 m,6.74 m,140
Molniya-M/Block VL,https://storage.googleapis.com/nextspaceflight/media/rockets/Molniya-M_Block_VL.webp,Retired,,"4,391 kN","6,200 kg","2,400 kg",4.0,4.0,42.8 m,2.58 m,8.28 m,140
Mu-III C,https://storage.googleapis.com/nextspaceflight/media/rockets/M-III_C.webp,Retired,,,195 kg,,3.0,8.0,,,,57
Mu-III H,https://storage.googleapis.com/nextspaceflight/media/rockets/M-III_H.webp,Retired,,,270 kg,,4.0,8.0,,,,57
Mu-III S,https://storage.googleapis.com/nextspaceflight/media/rockets/M-III_S.webp,Retired,,,290 kg,,3.0,8.0,,,,57
Mu-III S2,https://storage.googleapis.com/nextspaceflight/media/rockets/Mu-III_S2.webp,Retired,,,770 kg,,4.0,2.0,,,,57
Mu-IV S,https://storage.googleapis.com/nextspaceflight/media/rockets/file_5Yppd8E.webp,Retired,,,180 kg,,4.0,8.0,23.6 m,,,130
Mu-V/M-24,https://storage.googleapis.com/nextspaceflight/media/rockets/default.jpg,Retired,,"3,780 kN","1,800 kg",,4.0,0.0,30.7 m,,,131
Mu-V/M-25,https://storage.googleapis.com/nextspaceflight/media/rockets/default.jpg,Retired,,"3,780 kN","1,800 kg",,4.0,0.0,30.7 m,,,131
N-1 L3,https://storage.googleapis.com/nextspaceflight/media/rockets/n1-2.webp,Retired,,"45,307 kN","95,000 kg","20,000 kg",5.0,0.0,105.29 m,5.92 m,43.72 m,61
N-1 L3 M,https://storage.googleapis.com/nextspaceflight/media/rockets/default.jpg,Retired,,"45,307 kN","95,000 kg","20,000 kg",5.0,0.0,105.29 m,5.92 m,43.72 m,61
Neutron,https://storage.googleapis.com/nextspaceflight/media/rockets/Neutron.webp,Planned,$52.5 million,"6,800 kN","15,000 kg",,2.0,0.0,43.0 m,5.0 m,7.0 m,284
New Glenn,https://storage.googleapis.com/nextspaceflight/media/rockets/New_Glenn.webp,Planned,,"17,150 kN","45,000 kg","13,000 kg",2.0,0.0,98.0 m,7.0 m,21.9 m,67
N-I,https://storage.googleapis.com/nextspaceflight/media/rockets/N-I.webp,Retired,,,"1,200 kg",360 kg,2.0,3.0,34.0 m,,,99
N-I Star-37E,https://storage.googleapis.com/nextspaceflight/media/rockets/file_rQEdBR9.webp,Retired,,,"1,200 kg",360 kg,3.0,3.0,34.0 m,,,99
N-II,https://storage.googleapis.com/nextspaceflight/media/rockets/file_ZS3dcq0.webp,Retired,,,"2,000 kg",730 kg,2.0,9.0,35.0 m,,,100
N-II Star-37E,https://storage.googleapis.com/nextspaceflight/media/rockets/file_R8XHo4n.webp,Retired,,,"2,000 kg",730 kg,3.0,9.0,35.0 m,,,100
NOTS-EV-1,https://storage.googleapis.com/nextspaceflight/media/rockets/NOTS.webp,Retired,,,1 kg,0 kg,5.0,0.0,4.0 m,,,53
Nova,https://storage.googleapis.com/nextspaceflight/media/rockets/Nova.webp,Planned,,,,,2.0,,,,,289
OS-M1,https://storage.googleapis.com/nextspaceflight/media/rockets/IMG_20190401_142531.webp,Retired,,500 kN,205 kg,0 kg,4.0,0.0,18.0 m,0.7 m,1.26 m,63
Pegasus,https://storage.googleapis.com/nextspaceflight/media/rockets/Pegasus.webp,Retired,$40.0 million,487 kN,375 kg,,3.0,0.0,16.9 m,1.15 m,2.13 m,132
Pegasus/HAPS,https://storage.googleapis.com/nextspaceflight/media/rockets/Pegasus_XL-HAPS.webp,Retired,$40.0 million,487 kN,,,4.0,0.0,16.9 m,1.15 m,2.13 m,132
Pegasus XL,https://storage.googleapis.com/nextspaceflight/media/rockets/Pegasus_XL.webp,Active,$40.0 million,561 kN,443 kg,,4.0,0.0,17.6 m,1.15 m,2.13 m,132
Pegasus XL/HAPS,https://storage.googleapis.com/nextspaceflight/media/rockets/Pegasus-HAPS.webp,Active,$40.0 million,561 kN,,,4.0,0.0,17.6 m,1.15 m,2.13 m,132
Polyot,https://storage.googleapis.com/nextspaceflight/media/rockets/file_E1szzRP.webp,Retired,,"4,570 kN","1,400 kg",0 kg,2.0,4.0,30.0 m,2.58 m,5.68 m,193
Proton,https://storage.googleapis.com/nextspaceflight/media/rockets/Proton.webp,Retired,,"8,387 kN","12,200 kg",0 kg,2.0,0.0,39.8 m,4.15 m,8.5 m,134
Proton-K,https://storage.googleapis.com/nextspaceflight/media/rockets/Proton_K.webp,Retired,,"9,469 kN","20,100 kg",0 kg,3.0,0.0,56.14 m,4.15 m,16.12 m,133
Proton-K/Block D,https://storage.googleapis.com/nextspaceflight/media/rockets/Proton_K-D_0NIyLf7.webp,Retired,,"8,840 kN","18,900 kg","9,000 kg",4.0,0.0,56.14 m,3.9 m,8.9 m,133
