rocket_name,rocket_details_link,rocket_id,description,missions,successes,partial_failures,failures,success_streak,success_rate,configurations
Dnepr,https://nextspaceflight.com/rockets/192,192,"The Dnepr was based on the R-36MUTTH Intercontinental ballistic missile (ICBM) – called the SS-18 Satan by NATO – designed in the 1970s by the Yuzhnoe Design Bureau in Dnepropetrovsk, Ukrainian SSR. The Dnepr control system was developed and produced by the JSC ""Khartron"", Kharkov. The Dnepr was a three-stage rocket using storable hypergolic liquid propellants. The launch vehicles used for satellite launches have been withdrawn from ballistic missile service with the Russian Strategic Rocket Forces and stored for commercial use. A group of a total of 150 ICBMs were allowed under certain geopolitical disarmament protocols to be converted for use.",22.0,21.0,0.0,1.0,15.0,95.5%,['Dnepr']
Electron,https://nextspaceflight.com/rockets/4,4,"Electron is a partially recoverable orbital launch vehicle developed by Rocket Lab, an American aerospace company founded in New Zealand with a wholly-owned New Zealand subsidiary. Electron was developed to service the commercial small satellite launch market. Its Rutherford engines are the first electric-pump-fed engine to power an orbital-class rocket. On some missions, the first stage is recovered using a parachute.",53.0,49.0,0.0,4.0,12.0,92.5%,"['Electron', 'Electron/Curie', 'Electron/Explorer', 'Electron/Photon']"
Energiya,https://nextspaceflight.com/rockets/59,59,"Energia was a super-heavy lift launch vehicle. It was designed by NPO Energia of the Soviet Union for a variety of payloads including the Buran spacecraft. Control system main developer enterprise was the Khartron NPO ""Electropribor"". The Energia used four strap-on boosters each powered by a four-chamber RD-170 engine burning kerosene/LOX, and a central core stage with four single-chamber RD-0120 (11D122) engines fueled by liquid hydrogen/LOX. The launch vehicle had two functionally different operational variants: Energia-Polyus, the initial test configuration, in which the Polyus system was used as a final stage to put the payload into orbit, and Energia-Buran, in which the Buran-class orbiters were the payload and the source of the orbit insertion impulse. Production of Energia rockets ended with the fall of the Soviet Union and the end of the Buran shuttle project.",2.0,2.0,0.0,0.0,2.0,100%,"['Energiya/Buran', 'Energiya/Polyus']"
Epsilon,https://nextspaceflight.com/rockets/41,41,,6.0,5.0,0.0,1.0,0.0,83.3%,"['Epsilon', 'Epsilon Demo', 'Epsilon PBS', 'Epsilon S']"
Eris,https://nextspaceflight.com/rockets/298,298,Eris orbital launch vehicle will deliver up to 305 kg to LEO,,,,,,,['Eris']
Europa,https://nextspaceflight.com/rockets/65,65,"The Europa rocket was an early expendable launch system of the European Launcher Development Organisation (ELDO), which was the precursor to the European Space Agency (ESA). It was developed with the aim of delivering space access technology, and more specifically to facilitate the deployment of European-wide telecommunication and meteorological satellites into orbit. The Blue Streak missile predated the Europa program, having originally been developed by Britain primarily for military purposes, however, it was canceled in 1960. Efforts to repurpose the Blue Streak, such as the studied Black Prince expendable launch system, eventually cumulated in the multinational Europa program.",4.0,0.0,0.0,4.0,0.0,0%,"['Europa 1', 'Europa 2']"
Falcon 1,https://nextspaceflight.com/rockets/171,171,"Falcon 1 became the first privately-developed liquid-fuel launch vehicle to go into orbit around the Earth. The two-stage-to-orbit rocket used LOX/RP-1 for both stages, the first powered by a single Merlin engine and the second powered by a single Kestrel engine. It was designed by SpaceX from the ground up. Following its fifth launch, Falcon 1 was retired and succeeded by Falcon 9.",5.0,2.0,0.0,3.0,2.0,40.0%,['Falcon 1']
Falcon 9,https://nextspaceflight.com/rockets/3,3,"Falcon 9 is a partially reusable two-stage-to-orbit launch vehicle designed and manufactured by SpaceX in the United States. Both the first and second stages are powered by Merlin engines, using cryogenic liquid oxygen and rocket-grade kerosene (RP-1) as propellants. Unlike most rockets in service, which are expendable launch systems, Falcon 9 is partially reusable. The first stage is capable of re-entering the atmosphere and landing vertically after separating from the second stage. First-stage landings can occur either back at the launch site or downrange on droneships. In addition to the first stage, Falcon 9's payload fairing is also reusable. The payload fairing halves utilize a parafoil to steer themselves toward a recovery vessel.",383.0,379.0,1.0,3.0,28.0,99.1%,"['Falcon 9 Block 1 (v1.0)', 'Falcon 9 Block 2 (v1.1)', 'Falcon 9 Block 3 (v1.2/FT)', 'Falcon 9 Block 4', 'Falcon 9 Block 5']"
Falcon Heavy,https://nextspaceflight.com/rockets/104,104,Falcon Heavy is a partially reusable heavy-lift launch vehicle designed and manufactured by SpaceX. It is derived from the Falcon 9 vehicle and consists of a strengthened Falcon 9 first stage as the center core with two additional Falcon 9-like first stages as strap-on boosters. Falcon Heavy is currently the 2nd most powerful operational rocket behind SLS.,11.0,11.0,0.0,0.0,11.0,100%,['Falcon Heavy']
Feng Bao 1,https://nextspaceflight.com/rockets/190,190,"The Feng Bao 1 also known as FB-1, was a Chinese carrier rocket. It was replaced by the nearly identical Long March 2, which had been developed at the same time for political reasons related to China's Cultural Revolution. The Feng Bao was derived from the DF-5 missile.",11.0,7.0,0.0,4.0,1.0,63.6%,['Feng Bao 1']
Gravity 1,https://nextspaceflight.com/rockets/294,294,"4-stage launch vehicle consisting of 5 solid rocket motors clustered together, with the center motor igniting just after separating the other 4 solid rocket motors. The upper two stages also use solid fuel.",1.0,1.0,0.0,0.0,1.0,100%,['Gravity 1']
GSLV Mk I & II,https://nextspaceflight.com/rockets/35,35,"Geosynchronous Satellite Launch Vehicle (GSLV) is an expendable launch system operated by the Indian Space Research Organisation (ISRO). Even though GSLV Mark III shares the name, it is an entirely different launch vehicle. GSLV uses major components that are already proven in the Polar Satellite Launch Vehicle (PSLV) launch vehicles in the form of the S125/S139 solid rocket booster and the liquid-fueled Vikas engine. GSLV Mark I uses a Russian Cryogenic Stage which GSLV Mark II uses the Indian Cryogenic Upperstage. Other than the 3rd stage, the configurations are the same.",16.0,10.0,2.0,4.0,2.0,68.8%,"['GSLV Mk I', 'GSLV Mk II']"
H3,https://nextspaceflight.com/rockets/105,105,"The H3 Launch Vehicle is an expendable launch system in development in Japan. H3 rockets are liquid-propellant rockets with strap-on solid rocket boosters and are planned to be launched from Tanegashima Space Center in Japan. Mitsubishi and JAXA are responsible for the design, manufacture, and operation of the H3. The H3 was designed with cheaper engines compared to the H-IIA, so that manufacturing the new launch vehicle would be faster, less risky, and more cost-effective.",3.0,2.0,0.0,1.0,2.0,66.7%,"['H3-22L', 'H3-22S', 'H3-24L', 'H3-30S']"
Hapith V,https://nextspaceflight.com/rockets/280,280,"Hapith (meaning ""flying mouse"" in one of Taiwan's aboriginal languages) is the first private orbital rocket developed in Taiwan. After having initially planned to launch it from the national territory, it will finally be launched from Sleaford, Australia, and from Andøya, Norway. It's a three-stages hybrid rocket, using a solid fuel and a liquid oxidizer. The rocket can launch 390 kg to LEO.",,,,,,,['Hapith V']
H-I,https://nextspaceflight.com/rockets/101,101,"The H–I or H–1 was a Japanese liquid-fuelled carrier rocket, consisting of a license-built version of the Thor-ELT, which was originally constructed for the US Delta 1000 rocket, and all-Japanese upper stages. The H in the name represented the use of liquid hydrogen fuel in the second stage. It replaced the N-II, and was subsequently replaced by the H–2, which used the same upper stages with a Japanese first stage.",9.0,9.0,0.0,0.0,9.0,100%,"['H-I (9 SO)', 'H-I UM-129A (6SO)', 'H-I UM-129A (9SO)']"
H-II,https://nextspaceflight.com/rockets/80,80,H-II was the first two-stage liquid-fuelled rocket Japan made using only technologies developed domestically. It was developed by NASDA in order to give Japan the capability to launch larger satellites in the 1990s. H-II was superseded by the H-IIA rocket following reliability and cost issues.,7.0,5.0,1.0,1.0,0.0,78.6%,"['H-II', 'H-II (2 SSB)', 'H-IIS']"
H-IIA,https://nextspaceflight.com/rockets/179,179,"H-IIA (H-2A) is an expendable launch system operated by Mitsubishi Heavy Industries (MHI) for the Japan Aerospace Exploration Agency. The H-IIA is a derivative of the earlier H-II rocket, substantially redesigned to improve reliability and minimize costs. There have been four variants, with two in active service (as of 2021) for various purposes. A derivative design, the H-IIB, was developed in the 2000s and made its first flight in 2009.",49.0,48.0,0.0,1.0,43.0,98.0%,"['H-IIA 202', 'H-IIA 2022', 'H-IIA 2024', 'H-IIA 204']"
H-IIB,https://nextspaceflight.com/rockets/180,180,"H-IIB (H2B) was an expendable space launch system jointly developed by the Japanese government's space agency JAXA and Mitsubishi Heavy Industries. It was used to launch the H-II Transfer Vehicle (HTV) cargo spacecraft for the International Space Station. The H-IIB was a liquid-fueled rocket, with solid-fuel strap-on boosters and was launched from the Tanegashima Space Center in southern Japan.",9.0,9.0,0.0,0.0,9.0,100%,['H-IIB']
Hyperbola 1,https://nextspaceflight.com/rockets/81,81,"The Hyperbola-1 rocket is 20.8 m (68 ft) tall, 1.4 m (4 ft 7 in) in diameter, and weighs 31 t (34 tons). It consists of four all solid fuel stages, guided by liquid fuel attitude control engines. The rocket might be based on Chinese military missiles (perhaps DF-11 or DF-15). The launch price is reported around US$5 million.",7.0,3.0,0.0,4.0,0.0,42.9%,['Hyperbola 1']
Jielong 1,https://nextspaceflight.com/rockets/82,82,"Jielong 1 is a solid-fueled orbital launch vehicle developed by China Academy of Launch Vehicle Technology's subsidiary China Rocket to launch up to 150 kg to a 700 km altitude sun-synchronous orbit. The rocket is 19.5 meters tall, 1.2 meters in diameter, and weighs 23.1 metric tons. It is a solid-fuel, 4-stage orbital rocket. The development of the rocket took 18 months (initiated in February 2018); the rocket uses propulsion technology from Chinese missile programs. The program aims to produce a launch vehicle with a launch price per mass of 30,000 USD/kg, or $6 million for the launch.",1.0,1.0,0.0,0.0,1.0,100%,['Jielong 1']
Jielong 3,https://nextspaceflight.com/rockets/285,285,"Jielong 3, also known as CZ-11A, is a solid rocket launcher developed by CASC, with the aim of making it a competitive commercial sea-launched launcher.",4.0,4.0,0.0,0.0,4.0,100%,['Jielong 3']
Juno I,https://nextspaceflight.com/rockets/51,51,"The Juno I was a four-stage American booster rocket that launched America's first satellite, Explorer 1, in 1958. The Juno I consisted of a Jupiter-C first stage, based on the Redstone missile; with three additional solid fuel stages based on the Sergeant missile to provide the added impulse to achieve orbit. Juno I is commonly confused with the Juno II launch vehicle, which was derived from the PGM-19 Jupiter medium-range ballistic missile.",6.0,3.0,0.0,3.0,0.0,50.0%,['Juno I']
Juno II,https://nextspaceflight.com/rockets/150,150,"Juno II was an American space launch vehicle used during the late 1950s and early 1960s. It was derived from the Jupiter missile, which was used as the first stage. Solid rocket motors derived from the MGM-29 Sergeant were used as upper stages—eleven for the second stage, three for the third stage, and one for the fourth stage—the same configuration as used for the upper stages of the smaller Juno I rocket. On some launches to low Earth orbit, the fourth stage was not flown. Development of the Juno II was extremely fast due to being completely built from existing hardware. The main differences between the Juno II and Jupiter were stretched propellant tanks for increased burn time (the first stage burn time was approximately 20 seconds longer than on the Jupiter), a reinforced structure to support the added weight of upper stages, and the inertial guidance system replaced with a radio ground guidance package, which which was moved to the upper stages.",10.0,4.0,1.0,5.0,0.0,45.0%,['Juno II']
KAIROS,https://nextspaceflight.com/rockets/297,297,"4-stage all solid fuel small satellite launch vehicle from the Japanese company Space One, founded in 2018 by Canon Electronics, IHI Aerospace, construction company Shimizu and the government-backed Development Bank of Japan.",1.0,0.0,0.0,1.0,0.0,0%,['KAIROS']
Kaituozhe 1,https://nextspaceflight.com/rockets/189,189,"Kaituozhe 1 (KT-1) was a small, solid-fueled launch vehicle based on the road-mobile DF-21 IRBM with an additional upper stage (in total 4 stages). It was 13.6 meters in length and 1.4 meters in diameter, with a launch mass of 20t. It was possible to launch KT-1 both from a truck-based platform or from airborne platform. It had a 100 kg to LEO payload capacity. It was possibly the launch vehicle for a Chinese ASAT system that was tested against an old Chinese weather satellite in 2007.",3.0,0.0,0.0,3.0,0.0,0%,['Kaituozhe 1']
Kaituozhe 2,https://nextspaceflight.com/rockets/46,46,"The Kaituozhe 2 (KT-2, AKA Kaituo-2) features a possibly DF-31 based stage 1, topped by a small diameter stage 2 and 3. It has reportedly a payload of 800 kg to low earth orbit. The KT-2 is a rapid-response launcher; the rocket is capable of mobile-launch from a transporter-erector-launcher (TEL) vehicle.",1.0,1.0,0.0,0.0,1.0,100%,['Kaituozhe 2']
Kinetica 1,https://nextspaceflight.com/rockets/281,281,"Kinetica 1 (also known as Lijian-1, Chinese: 力箭一号) is a Chinese solid-propellant light launch vehicle. It is capable of placing about 2 tons into low earth orbit and 1.5 tons into sun-synchronous orbit. It is developed by CAS Space, a subsidiary of the Chinese Academy of Sciences. Kinetica 1 is a light launcher whose first stage seems to be derived from the DF-31 long-range intercontinental ballistic missile. It is 31 m high and has a diameter of 2.65 m, with a liftoff mass of 135 t. It's the largest Chinese solid propellant launcher to date, with four stages with a thrust of 200, 100, 50 and 10 tons respectively. The fairing has a diameter of 3.35 meters.",4.0,4.0,0.0,0.0,4.0,100%,['Kinetica 1']
Kinetica 2,https://nextspaceflight.com/rockets/295,295,"Kinetica 2 launch vehicle is a small, low-cost intelligent liquid-propellent launch vehicle in a two-stage-to-orbit configuration. The first stage and second stage adopt CAS Space´s 80-tonne (Xuanyuan 2) and 15-tonne (Xuanyuan 1) low-cost open-cycle LOX/Kerosene rocket engines, respectively. Through highly integrated electrical system hardware, integrated spacecraft information management system, autonomous fault identification and remediation, Kinetica 2 achives intelligent launch and flight management. The core stage and two side boosters are expected to be reusable by 2028.",,,,,,,"['Kinetica 2', 'Kinetica 2H']"
KSLV-1,https://nextspaceflight.com/rockets/77,77,,3.0,1.0,0.0,2.0,1.0,33.3%,['KSLV-1']
KSLV-2,https://nextspaceflight.com/rockets/303,303,,3.0,2.0,0.0,1.0,2.0,66.7%,['KSLV-2']
Kuaizhou 1,https://nextspaceflight.com/rockets/38,38,,2.0,2.0,0.0,0.0,2.0,100%,['Kuaizhou 1']
Kuaizhou 1A,https://nextspaceflight.com/rockets/107,107,,27.0,25.0,0.0,2.0,13.0,92.6%,['Kuaizhou 1A']
Kuaizhou 11,https://nextspaceflight.com/rockets/106,106,,3.0,2.0,0.0,1.0,2.0,66.7%,['Kuaizhou 11']
Lambda 4S,https://nextspaceflight.com/rockets/78,78,"The Lambda 4S or L-4S was an experimental Japanese expendable carrier rocket. It was produced by Nissan and the Institute of Space and Astronautical Science and launched five times between 1966 and 1970 with Ohsumi technology demonstration satellites. The Lambda 4S consisted of four stages, with two booster rockets augmenting the first stage. SB-310 rockets were used as boosters, with an L735 first stage. The second stage was a reduced length derivative of the L735, whilst an L500 was used as the third stage. The fourth stage was an L480S. All of the stages burned solid fuel.",5.0,1.0,0.0,4.0,1.0,20.0%,['Lambda-IV S']
LauncherOne,https://nextspaceflight.com/rockets/45,45,"LauncherOne is a two-stage orbital launch vehicle developed and flown by Virgin Orbit. It is an air-launched rocket, designed to carry smallsat payloads of up to 300 kg (660 lb) into Sun-synchronous orbit (SSO), following air launch from a carrier aircraft at high altitude. The rocket is carried to the upper atmosphere on a modified Boeing 747-400, named Cosmic Girl, and released over the Pacific Ocean. Initial work on the program was done by Virgin Galactic, another Virgin Group subsidiary, before a separate entity— Virgin Orbit—was formed in 2017 to complete development and operate the launch service provider business as a separate entity from the passenger-carrying Virgin Galactic business.",6.0,4.0,0.0,2.0,0.0,66.7%,['LauncherOne']
Long March 1,https://nextspaceflight.com/rockets/10,10,The Long March 1 was the first member of China's Long March rocket family. Development started in January 1965 as the Seventh Ministry of Machinery Industry issued a design task. The two-stage liquid-fueled DF-4 was modified by adding a third stage in order to make it to the desired orbit. Long March 1's second flight launched China's first satellite Dong Fang Hong 1.,2.0,2.0,0.0,0.0,2.0,100%,['Long March 1']
Long March 2,https://nextspaceflight.com/rockets/110,110,The Long March 2 was a Chinese orbital carrier rocket. The rocket was subsequently replaced by the more capable Long March 2C.,4.0,3.0,0.0,1.0,3.0,75.0%,['Long March 2']
Long March 2C,https://nextspaceflight.com/rockets/111,111,"The Long March 2C (LM-2C), also known as the Chang Zheng 2C (CZ-2C), is a Chinese orbital launch vehicle, part of the Long March 2 rocket family. Developed and manufactured by the China Academy of Launch Vehicle Technology (CALT). It is a two-stage launch vehicle with storable propellants, consisting of Nitrogen Tetroxide and Unsymmetrical Dimethylhydrazine. The rocket was derived from the DF-5 ICBM.",78.0,76.0,1.0,1.0,1.0,98.1%,"['Long March 2C', 'Long March 2C/SD', 'Long March 2C/SM', 'Long March 2C/SMA', 'Long March 2C/YZ-1S']"
Long March 2D,https://nextspaceflight.com/rockets/112,112,"The Long March 2D, also known as the Chang Zheng 2D, CZ-2D and LM-2D, is a Chinese orbital carrier rocket. Manufactured by the Shanghai Academy of Spaceflight Technology (SAST), the Long March 2D is a 2-stage carrier rocket mainly used for launching LEO and SSO satellites.",92.0,91.0,1.0,0.0,60.0,99.5%,"['Long March 2D', 'Long March 2D/YZ-3']"
Long March 2E,https://nextspaceflight.com/rockets/113,113,"The Long March 2E, also known as the Chang Zheng 2E, CZ-2E and LM-2E, was a Chinese orbital carrier rocket from the Long March 2 family. The Long March 2E was a three-stage carrier rocket that was designed to launch commercial communications satellites into a geosynchronous transfer orbit. Launches took place from launch complex 2 at the Xichang Satellite Launch Center.",7.0,3.0,2.0,2.0,1.0,57.1%,"['Long March 2E', 'Long March 2E EPKM']"
Long March 2F,https://nextspaceflight.com/rockets/114,114,"The Long March 2F is a Chinese orbital carrier rocket, part of the Long March 2 rocket family. Designed to launch crewed Shenzhou (spacecraft), the Long March 2F is a human-rated two-stage version of the Long March 2E rocket, which in turn was based on the Long March 2C launch vehicle. It is launched from complex SLS at the Jiuquan Satellite Launch Center.",23.0,23.0,0.0,0.0,23.0,100%,"['Long March 2F', 'Long March 2F/G', 'Long March 2F/T']"
Long March 3,https://nextspaceflight.com/rockets/115,115,The Long March 3 is a Chinese orbital carrier rocket design. They are launched from the Xichang Satellite Launch Center – typically launching satellites to geostationary transfer orbits. The rocket has received heavy criticism for dropping its rocket boosters on populated areas. The Chinese government claims that these areas are evacuated before flight but videos have surfaced on the internet appearing to show otherwise.,157.0,149.0,6.0,2.0,33.0,96.8%,"['Long March 3', 'Long March 3A', 'Long March 3B', 'Long March 3B/E', 'Long March 3B/YZ-1', 'Long March 3C', 'Long March 3C/E', 'Long March 3C/YZ-1']"
Long March 4A,https://nextspaceflight.com/rockets/119,119,,2.0,2.0,0.0,0.0,2.0,100%,['Long March 4A']
Long March 4B,https://nextspaceflight.com/rockets/120,120,,51.0,50.0,0.0,1.0,31.0,98.0%,['Long March 4B']
Long March 4C,https://nextspaceflight.com/rockets/121,121,,55.0,53.0,0.0,2.0,29.0,96.4%,['Long March 4C']
Long March 5,https://nextspaceflight.com/rockets/122,122,,8.0,7.0,0.0,1.0,6.0,87.5%,"['Long March 5', 'Long March 5/YZ-2']"
Long March 5B,https://nextspaceflight.com/rockets/123,123,,4.0,4.0,0.0,0.0,4.0,100%,"['Long March 5B', 'Long March 5B/YZ-2']"
Long March 6,https://nextspaceflight.com/rockets/124,124,,21.0,21.0,0.0,0.0,21.0,100%,"['Long March 6', 'Long March 6A', 'Long March 6C']"
Long March 7,https://nextspaceflight.com/rockets/125,125,,16.0,15.0,0.0,1.0,13.0,93.8%,"['Long March 7', 'Long March 7A', 'Long March 7/YZ-1A']"
Long March 8,https://nextspaceflight.com/rockets/126,126,,3.0,3.0,0.0,0.0,3.0,100%,"['Long March 8', 'Long March 8A', 'Long March 8 (Core Only)']"
Long March 10,https://nextspaceflight.com/rockets/302,302,"The Long March 10 is a human-rated super heavy launch vehicle designed to launch China's Mengzhou crewed lunar spacecraft and its future Lanyue crewed lunar lander, as part of its crewed space program, codenamed Project 921.",,,,,,,"['Long March 10', 'Long March 10A']"
Long March 11,https://nextspaceflight.com/rockets/108,108,"The Long March 11, or Chang Zheng 11 as in pinyin, abbreviated LM-11 for export or CZ-11 within China (and designated 11H when launched from sea), is a Chinese four-stage solid-propellant carrier rocket of the Long March family, which is developed by the China Aerospace Science and Technology Corporation. It was designed with the ability to launch on short notice and it can launch from road vehicles (CZ-11) and ships (CZ-11H). It is likely based on the DF-31 missile. The vehicle can be cold launched from a launch tube mounted on a road-mobile vehicle.",17.0,17.0,0.0,0.0,17.0,100%,"['Long March 11', 'Long March 11H']"
Long March 12,https://nextspaceflight.com/rockets/301,301,"The Long March 12 is a two-stage kerosene/liquid oxygen-fueled rocket capable of lifting 10 tonnes to Low Earth Orbit, using four YF-100K kerosene engines in the first stage of 1250 kilonewton thrust each, with a launch mass of about 435 tons. The second stage will carry two YF-115s, also powered by kerosene, of 180 kilonewton thrust each. The fairing will come in two variants, one with a diameter of 4.2 meters and the other with a diameter of 5.2 meters.",,,,,,,['Long March 12']
LVM-3,https://nextspaceflight.com/rockets/178,178,"The Launch Vehicle Mark-3 (LVM-3), previously called Geosynchronous Satellite Launch Vehicle Mark III (GSLV Mk III), is a three-stage medium-lift launch vehicle developed by the Indian Space Research Organisation (ISRO). Primarily designed to launch communication satellites into geostationary orbit, it is also identified as the launch vehicle for crewed missions under the Indian Human Spaceflight Program and dedicated science missions like Chandrayaan-2. The LVM-3 (GSLV Mk II)I has a higher payload capacity than the similarly named GSLV Mk II.",7.0,7.0,0.0,0.0,7.0,100%,['LVM-3']
Minotaur C (Taurus),https://nextspaceflight.com/rockets/28,28,"Minotaur-C (Minotaur Commercial), formerly known as Taurus or Taurus XL, is a four-stage solid-fueled launch vehicle built in the United States by Orbital Sciences (now Northrop Grumman). It is based on the air-launched Pegasus rocket from the same manufacturer, utilizing a ""zeroth stage"" in place of an airplane.",10.0,7.0,0.0,3.0,1.0,70.0%,['Minotaur C (Taurus)']
Minotaur I,https://nextspaceflight.com/rockets/127,127,"The Minotaur I, or just Minotaur is an American expendable launch system derived from the Minuteman II missile. It is used to launch small satellites for the U.S. government and is a member of the Minotaur family of rockets produced by Orbital Sciences Corporation. The Minotaur I is the follow-on to the Orbital Sciences' Taurus (later re-named the ""Minotaur-C"") launch vehicle, combining the original Taurus's booster stage with a second stage from a Minuteman missile.",12.0,12.0,0.0,0.0,12.0,100%,['Minotaur I']
Minotaur IV,https://nextspaceflight.com/rockets/128,128,"Minotaur IV, also known as Peacekeeper SLV and OSP-2 PK is an active expendable launch system derived from the LGM-118 Peacekeeper ICBM. It uses the first three stages of the Peacekeeper missile, combined with a new upper stage. On the baseline version, the fourth stage is an Orion 38. However, a higher performance variant, designated Minotaur IV+, uses a Star-48V instead.",5.0,5.0,0.0,0.0,5.0,100%,['Minotaur IV']
Minotaur V,https://nextspaceflight.com/rockets/129,129,"The Minotaur V is an American expendable launch system derived from the Minotaur IV, itself a derivative of the LGM-118 Peacekeeper ICBM. It was developed by Orbital Sciences Corporation, (now absorbed into Northrop Grumman Innovation Systems).",1.0,1.0,0.0,0.0,1.0,100%,['Minotaur V']
Miura 5,https://nextspaceflight.com/rockets/176,176,"Miura 5 (previously called Arion 2) is a planned two-stage orbital recoverable launch vehicle of the Spanish company PLD Space. Miura 5 will be 25 m long, capable of inserting 300 kg of payload into a 500 km sun-synchronous orbit (SSO), featuring an optional kick stage that can circularize the orbits of satellites. All stages are planned to be liquid-propelled and its technology is inherited from Miura 1. The first stage is planned to be reusable through the combined use of its engines and parachutes for retrieval.",,,,,,,['Miura 5']
MLV,https://nextspaceflight.com/rockets/172,172,"MLV will build upon Firefly's existing Alpha vehicle and will be significantly larger and more capable. Firefly is cooperating closely with Northrop Grumman for development. Its first stage will utilize seven Miranda tap-off cycle kerolox engines, whereas its second stage will use a vacuum-optimized variant named Miranda Vacuum. It retains the two-stage architecture, linerless carbon composite tanks and fairings from Alpha. Its first flight is planned for 2026 from Wallops Flight Facility in Virginia. Firefly intends to pursue propulsive landings and reuse of the first stage in the future.",,,,,,,['MLV']
Molniya,https://nextspaceflight.com/rockets/197,197,"The Molniya, GRAU Index 8K78, was a modification of the well-known R-7 Semyorka rocket and had four stages. The 8K78 resulted from a crash program by the Korolev Bureau to develop a booster for launching planetary probes. A larger third stage was added along with a fourth stage (Blok L) that was designed to fire in-orbit to send the payload out of LEO. The basic R-7 core was also structurally strengthened and given more powerful engines. A rushed development produced multiple malfunctions of the upper stages, which led to its being replaced by the improved Molniya-M.",40.0,22.0,1.0,17.0,6.0,56.2%,['Molniya']
Molniya-M,https://nextspaceflight.com/rockets/140,140,"The Molniya-M, designation 8K78M, was a Soviet (later Russian) carrier rocket derived from the R-7 Semyorka ICBM. The original 8K78 booster had been the product of a rushed development program and its launch record was no better than the 8K72 Luna booster of 1958-60. As such, work began at the Korolev Bureau to improve the basic 8K78 vehicle. The core and strap-ons engines were enhanced still further and the Kosberg Bureau completely redesigned the Blok I stage. The Blok L engine was also slightly enhanced. The first six 8K78Ms built used RD-0108 engines in the Blok I stage, which was also used in the two crewed Voskhod boosters, all subsequent 8K78Ms using RD-0110 engines which were shared with the Soyuz booster.",280.0,265.0,12.0,3.0,4.0,96.8%,"['Molniya-M/Block 2BL', 'Molniya-M/Block L', 'Molniya-M/Block ML', 'Molniya-M/Block NVL', 'Molniya-M/Block SO-L', 'Molniya-M/Block VL']"
Mu-III,https://nextspaceflight.com/rockets/57,57,"The Mu, also known as M, was a series of Japanese solid-fueled carrier rockets, which were launched from Uchinoura.",19.0,17.0,1.0,1.0,0.0,92.1%,"['Mu-III C', 'Mu-III H', 'Mu-III S', 'Mu-III S2']"
Mu-IV,https://nextspaceflight.com/rockets/130,130,"The Mu, also known as M, was a series of Japanese solid-fueled carrier rockets, which were launched from Uchinoura.",4.0,3.0,0.0,1.0,3.0,75.0%,['Mu-IV S']
Mu-V,https://nextspaceflight.com/rockets/131,131,"The M-V rocket, also called M-5 or Mu-5, was a Japanese solid-fuel rocket designed to launch scientific satellites. It was a member of the Mu family of rockets. The Institute of Space and Astronautical Science (ISAS) began developing the M-V in 1990 at a cost of 15 billion yen. It has three stages and is 30.7 meters (101 ft) high, 2.5 meters (8 ft 2 in) in diameter and weighs about 140 tonnes (310,000 pounds).",7.0,6.0,0.0,1.0,4.0,85.7%,"['Mu-V/M-24', 'Mu-V/M-25']"
N-1,https://nextspaceflight.com/rockets/61,61,"The N1/L3 was a super heavy-lift launch vehicle intended to deliver payloads beyond low Earth orbit. The N1 was the Soviet counterpart to the US Saturn V and was intended to enable crewed travel to Earth's Moon and beyond, with studies beginning as early as 1959. All of the four flown N1 Block A first stages failed because of a lack of static test firings that did not reveal plumbing issues and other adverse characteristics with the large cluster of thirty engines and its complex fuel and oxidizer feeder system.",4.0,0.0,0.0,4.0,0.0,0%,"['N-1 L3', 'N-1 L3 M']"
Neutron,https://nextspaceflight.com/rockets/284,284,"Neutron is a planned two-stage medium-lift launch vehicle in development by Rocket Lab. Both stages will use LOX and liquid methane as propellants. The first stage will be powered by 9 Archimedes engines, and the second stage will use a single Archimedes Vacuum engine. The vehicle will be partially reusable, with the first stage returning using an RTLS (Return-To-Launch-Site) profile. Rocket Lab has announced that Neutron will launch from NASA's Wallops Flight Facility in Virginia.",,,,,,,['Neutron']
New Glenn,https://nextspaceflight.com/rockets/67,67,"New Glenn, named after John Glenn, is a heavy-lift orbital launch vehicle in development by Blue Origin. Design work on the vehicle began in 2012. Illustrations of the vehicle, and the high-level specifications, were initially publicly unveiled in September 2016. New Glenn is described as a two-stage rocket with a diameter of 7 m (23 ft). Its first stage will be powered by seven BE-4 engines that are also being designed and manufactured by Blue Origin. New Glenn's first stage is designed to be reusable with a propulsive landing on a recovery vessel.",,,,,,,['New Glenn']
N-I,https://nextspaceflight.com/rockets/99,99,"The N-I or N-1 was a derivative of the American Thor-Delta rocket, produced under license in Japan. The N stood for ""Nippon"" (Japan). It used a Long Tank Thor first stage, a Mitsubishi Heavy Industries-designed LE-3 engine on the second stage, and three Castor SRMs.",7.0,6.0,0.0,1.0,2.0,85.7%,"['N-I', 'N-I Star-37E']"
N-II,https://nextspaceflight.com/rockets/100,100,"The N-II or N-2 was a derivative of the American Delta rocket, produced under licence in Japan. It replaced the N-I-rocket in Japanese use. It used a Thor-ELT first stage, a Delta-F second stage, nine Castor SRMs, and on most flights either a Star-37E or Burner-2 upper stage, identical to the US Delta 0100 series configurations.",8.0,8.0,0.0,0.0,8.0,100%,"['N-II', 'N-II Star-37E']"
